run_id,condition,model,context_policy,repeat_index,question_id,question_type,judge_correct,judge_model,judge_provider,judge_error,heuristic_correct,token_f1,evidence_session_hit,recall_any@1,recall_any@3,recall_any@5,recall_all@3,recall_all@5,ndcg_any@3,ndcg_any@5,mrr,answer_semantic_similarity,gold_context_similarity,pred_context_similarity,semantic_grounding_index,semantic_metric_error,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,judge_raw_response,selected_session_ids,answer_session_ids
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,1,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,53,2011,12024,True,6.278647311999521,,What degree did I graduate with?,Business Administration,I don't know,no,"['sharegpt_yywfIrx_0', '85a1be56_1']",['answer_280352e9']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,1,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,45,1904,12024,True,4.962866526999278,,How long is my daily commute to work?,45 minutes each way,I don't know.,no,['db73b7e4_4'],['answer_40a90d51']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,1,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,4,50,1904,12024,True,6.062005412000872,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,no,"['sharegpt_9MbC1u2_0', 'ultrachat_122409', 'ultrachat_174711', '4679a05c']",['answer_d61669c7']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,2,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,53,2011,12024,True,5.057605775000411,,What degree did I graduate with?,Business Administration,I don't know,no,"['sharegpt_yywfIrx_0', '85a1be56_1']",['answer_280352e9']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,2,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,45,1904,12024,True,2.0790893340017647,,How long is my daily commute to work?,45 minutes each way,I don't know. The question doesn't seem related to the context about taking care of leather boots or discussing insoles for running shoes.,no,['db73b7e4_4'],['answer_40a90d51']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,2,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,4,50,1904,12024,True,5.120921409001312,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,no,"['sharegpt_9MbC1u2_0', 'ultrachat_122409', 'ultrachat_174711', '4679a05c']",['answer_d61669c7']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,3,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,53,2011,12024,True,5.159869499999331,,What degree did I graduate with?,Business Administration,I don't know,no,"['sharegpt_yywfIrx_0', '85a1be56_1']",['answer_280352e9']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,3,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,45,1904,12024,True,2.1456683979995432,,How long is my daily commute to work?,45 minutes each way,I don't know. The question doesn't seem related to the context about taking care of leather boots or discussing insoles for running shoes.,no,['db73b7e4_4'],['answer_40a90d51']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,3,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,4,50,1904,12024,True,5.200894749999861,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,no,"['sharegpt_9MbC1u2_0', 'ultrachat_122409', 'ultrachat_174711', '4679a05c']",['answer_d61669c7']
2026-06-14T170537Z,gpt54_judge_frozen_reader_s_first3_all,ollama_chat/llama3:latest,all,4,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,53,2011,12024,True,5.254650828999729,,What degree did I graduate with?,Business Administration,I don't know,no,"['sharegpt_yywfIrx_0', '85a1be56_1']",['answer_280352e9']
