run_id,condition,model,context_policy,repeat_index,question_id,question_type,heuristic_correct,token_f1,evidence_session_hit,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,selected_session_ids,answer_session_ids
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,1,e47becba,single-session-user,False,0.0,True,2,53,1842,12024,True,6.389122566000879,,What degree did I graduate with?,Business Administration,I don't know,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,1,118b2229,single-session-user,False,0.0,False,2,45,1951,12023,True,6.39173123600267,,How long is my daily commute to work?,45 minutes each way,I don't know. The context doesn't provide enough information about the specific question asked.,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,1,51a45a95,single-session-user,False,0.0,False,2,50,1992,12024,True,6.650281288999395,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,2,e47becba,single-session-user,False,0.0,True,2,53,1842,12024,True,5.382401077000395,,What degree did I graduate with?,Business Administration,I don't know,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,2,118b2229,single-session-user,False,0.0,False,2,45,1951,12023,True,5.5004148699990765,,How long is my daily commute to work?,45 minutes each way,I don't know. The context doesn't provide enough information about the specific question asked.,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,2,51a45a95,single-session-user,False,0.0,False,2,50,1992,12024,True,5.458556828001747,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,3,e47becba,single-session-user,False,0.0,True,2,53,1842,12024,True,5.441688875998807,,What degree did I graduate with?,Business Administration,I don't know,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,3,118b2229,single-session-user,False,0.0,False,2,45,1951,12023,True,5.428927946999465,,How long is my daily commute to work?,45 minutes each way,I don't know. The context doesn't provide enough information about the specific question asked.,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,3,51a45a95,single-session-user,False,0.0,False,2,50,1992,12024,True,5.413321318003,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,4,e47becba,single-session-user,False,0.0,True,2,53,1842,12024,True,5.406151840001257,,What degree did I graduate with?,Business Administration,I don't know,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,4,118b2229,single-session-user,False,0.0,False,2,45,1951,12023,True,5.476236048001738,,How long is my daily commute to work?,45 minutes each way,I don't know. The context doesn't provide enough information about the specific question asked.,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,4,51a45a95,single-session-user,False,0.0,False,2,50,1992,12024,True,5.490109124999435,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,5,e47becba,single-session-user,False,0.0,True,2,53,1842,12024,True,5.191570201001014,,What degree did I graduate with?,Business Administration,I don't know,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,5,118b2229,single-session-user,False,0.0,False,2,45,1951,12023,True,5.249980925000273,,How long is my daily commute to work?,45 minutes each way,I don't know. The context doesn't provide enough information about the specific question asked.,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T155125Z,frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,5,51a45a95,single-session-user,False,0.0,False,2,50,1992,12024,True,5.312792675998935,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
