run_id,condition,model,reader,context_format,context_policy,repeat_index,question_id,question_type,judge_correct,judge_model,judge_provider,judge_error,heuristic_correct,token_f1,evidence_session_hit,recall_any@1,recall_any@3,recall_any@5,recall_all@3,recall_all@5,ndcg_any@3,ndcg_any@5,mrr,answer_semantic_similarity,gold_context_similarity,pred_context_similarity,semantic_grounding_index,semantic_metric_error,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,evidence_quote,judge_raw_response,selected_session_ids,answer_session_ids
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,1,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,53,2131,12369,True,1.8958320509991609,,What degree did I graduate with?,Business Administration,I don't know.,"I'm thinking of having a dedicated area for working from home, and also a comfortable reading nook with a floor lamp and a plush armchair.",no,['02bd2b90_3'],['answer_280352e9']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,1,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,45,1921,12375,True,6.682900470997993,,How long is my daily commute to work?,45 minutes each way,I don't know,"I've been keeping a music journal to track what I've been listening to and what I think of it, which has been helpful in identifying patterns in my listening habits.",no,['a0b8b0ad_6'],['answer_40a90d51']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,1,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,50,2046,12387,True,2.155241232001572,,Where did I redeem a $5 coupon on coffee creamer?,Target,last Sunday,I actually redeemed a $5 coupon on coffee creamer last Sunday...,no,"['answer_d61669c7', '98c198fb']",['answer_d61669c7']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,2,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,53,2131,12369,True,1.2620389929979865,,What degree did I graduate with?,Business Administration,I don't know.,"I'm thinking of having a dedicated area for working from home, and also a comfortable reading nook with a floor lamp and a plush armchair.",no,['02bd2b90_3'],['answer_280352e9']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,2,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,45,1921,12375,True,1.2651400150025438,,How long is my daily commute to work?,45 minutes each way,I don't know,NOT_FOUND,no,['a0b8b0ad_6'],['answer_40a90d51']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,2,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,50,2046,12387,True,2.1477808770032425,,Where did I redeem a $5 coupon on coffee creamer?,Target,last Sunday,I actually redeemed a $5 coupon on coffee creamer last Sunday...,no,"['answer_d61669c7', '98c198fb']",['answer_d61669c7']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,3,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,53,2131,12369,True,1.3087591670009715,,What degree did I graduate with?,Business Administration,I don't know.,"I'm thinking of having a dedicated area for working from home, and also a comfortable reading nook with a floor lamp and a plush armchair.",no,['02bd2b90_3'],['answer_280352e9']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,3,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,45,1921,12375,True,1.2872298670008604,,How long is my daily commute to work?,45 minutes each way,I don't know,NOT_FOUND,no,['a0b8b0ad_6'],['answer_40a90d51']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,3,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,50,2046,12387,True,2.0483327149995603,,Where did I redeem a $5 coupon on coffee creamer?,Target,last Sunday,I actually redeemed a $5 coupon on coffee creamer last Sunday...,no,"['answer_d61669c7', '98c198fb']",['answer_d61669c7']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,4,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,53,2131,12369,True,1.287817656997504,,What degree did I graduate with?,Business Administration,I don't know.,"I'm thinking of having a dedicated area for working from home, and also a comfortable reading nook with a floor lamp and a plush armchair.",no,['02bd2b90_3'],['answer_280352e9']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,4,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,45,1921,12375,True,1.2937004759987758,,How long is my daily commute to work?,45 minutes each way,I don't know,NOT_FOUND,no,['a0b8b0ad_6'],['answer_40a90d51']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,4,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,50,2046,12387,True,2.072403940001095,,Where did I redeem a $5 coupon on coffee creamer?,Target,last Sunday,I actually redeemed a $5 coupon on coffee creamer last Sunday...,no,"['answer_d61669c7', '98c198fb']",['answer_d61669c7']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,5,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,53,2131,12369,True,1.2914981369976886,,What degree did I graduate with?,Business Administration,I don't know.,"I'm thinking of having a dedicated area for working from home, and also a comfortable reading nook with a floor lamp and a plush armchair.",no,['02bd2b90_3'],['answer_280352e9']
2026-06-14T173312Z,structured_evidence_gpt54_s_first3_lexical_retrieval,ollama_chat/llama3:latest,evidence_answer,structured,lexical_retrieval,5,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,1,45,1921,12375,True,1.2593971819987928,,How long is my daily commute to work?,45 minutes each way,I don't know,NOT_FOUND,no,['a0b8b0ad_6'],['answer_40a90d51']
