run_id,condition,model,reader,context_format,context_policy,repeat_index,question_id,question_type,judge_correct,judge_model,judge_provider,judge_error,heuristic_correct,token_f1,evidence_session_hit,recall_any@1,recall_any@3,recall_any@5,recall_all@3,recall_all@5,ndcg_any@3,ndcg_any@5,mrr,answer_semantic_similarity,gold_context_similarity,pred_context_similarity,semantic_grounding_index,semantic_metric_error,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,evidence_quote,judge_raw_response,selected_session_ids,answer_session_ids
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,1,gpt4_2655b836,temporal-reasoning,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.7653606369886217,0.7653606369886217,1.0,nan,nan,nan,nan,,2,3,226,1300,False,0.9910687109986611,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,First issue after service.,"By the way, I just got my car serviced for the first time on March 15th, and it was a great experience.",no,"['answer_4be1b6b4_2', 'answer_4be1b6b4_3']","['answer_4be1b6b4_2', 'answer_4be1b6b4_3', 'answer_4be1b6b4_1']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,1,gpt4_2487a7cb,temporal-reasoning,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,2,245,1551,False,0.8150131799993687,,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,'Effective Time Management' workshop,"I've been attending various workshops and lectures, like the workshop on ""Effective Time Management"" at the local community center last Saturday...",no,"['answer_1c6b85ea_1', 'answer_1c6b85ea_2']","['answer_1c6b85ea_1', 'answer_1c6b85ea_2']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,1,gpt4_76048e76,temporal-reasoning,True,gpt-5.4,codex-bridge,,True,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,2,224,1297,False,0.7895100519999687,,"Which vehicle did I take care of first in February, the bike or the car?",bike,bike,"in mid-February, I had to take it in for repairs because the gears were acting up and I couldn't shift properly.",yes,"['answer_b535969f_2', 'answer_b535969f_1']","['answer_b535969f_2', 'answer_b535969f_1']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,2,gpt4_2655b836,temporal-reasoning,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.7653606369886217,0.7653606369886217,1.0,nan,nan,nan,nan,,2,3,226,1300,False,0.6646113700007845,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,First issue after service.,"By the way, I just got my car serviced for the first time on March 15th, and it was a great experience.",no,"['answer_4be1b6b4_2', 'answer_4be1b6b4_3']","['answer_4be1b6b4_2', 'answer_4be1b6b4_3', 'answer_4be1b6b4_1']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,2,gpt4_2487a7cb,temporal-reasoning,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,2,245,1551,False,0.7413361520011676,,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,'Effective Time Management' workshop,"I've been attending various workshops and lectures, like the workshop on ""Effective Time Management"" at the local community center last Saturday...",no,"['answer_1c6b85ea_1', 'answer_1c6b85ea_2']","['answer_1c6b85ea_1', 'answer_1c6b85ea_2']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,2,gpt4_76048e76,temporal-reasoning,True,gpt-5.4,codex-bridge,,True,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,2,224,1297,False,0.697666776002734,,"Which vehicle did I take care of first in February, the bike or the car?",bike,bike,"in mid-February, I had to take it in for repairs because the gears were acting up and I couldn't shift properly.",yes,"['answer_b535969f_2', 'answer_b535969f_1']","['answer_b535969f_2', 'answer_b535969f_1']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,3,gpt4_2655b836,temporal-reasoning,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.7653606369886217,0.7653606369886217,1.0,nan,nan,nan,nan,,2,3,226,1300,False,0.6217260320008791,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,First issue after service.,"By the way, I just got my car serviced for the first time on March 15th, and it was a great experience.",no,"['answer_4be1b6b4_2', 'answer_4be1b6b4_3']","['answer_4be1b6b4_2', 'answer_4be1b6b4_3', 'answer_4be1b6b4_1']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,3,gpt4_2487a7cb,temporal-reasoning,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,2,245,1551,False,0.6906326089992945,,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,'Effective Time Management' workshop,"I've been attending various workshops and lectures, like the workshop on ""Effective Time Management"" at the local community center last Saturday...",no,"['answer_1c6b85ea_1', 'answer_1c6b85ea_2']","['answer_1c6b85ea_1', 'answer_1c6b85ea_2']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,3,gpt4_76048e76,temporal-reasoning,True,gpt-5.4,codex-bridge,,True,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,2,2,224,1297,False,0.7004208650032524,,"Which vehicle did I take care of first in February, the bike or the car?",bike,bike,"in mid-February, I had to take it in for repairs because the gears were acting up and I couldn't shift properly.",yes,"['answer_b535969f_2', 'answer_b535969f_1']","['answer_b535969f_2', 'answer_b535969f_1']"
2026-06-14T173021Z,structured_evidence_gpt54_marked_answer_turns_5run_slice,ollama_chat/llama3:latest,evidence_answer,structured,marked_answer_turns,4,gpt4_2655b836,temporal-reasoning,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.7653606369886217,0.7653606369886217,1.0,nan,nan,nan,nan,,2,3,226,1300,False,0.7104196049986058,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,First issue after service.,"By the way, I just got my car serviced for the first time on March 15th, and it was a great experience.",no,"['answer_4be1b6b4_2', 'answer_4be1b6b4_3']","['answer_4be1b6b4_2', 'answer_4be1b6b4_3', 'answer_4be1b6b4_1']"
