run_id,condition,model,context_policy,repeat_index,question_id,question_type,judge_correct,judge_model,judge_provider,judge_error,heuristic_correct,token_f1,evidence_session_hit,recall_any@1,recall_any@3,recall_any@5,recall_all@3,recall_all@5,ndcg_any@3,ndcg_any@5,mrr,answer_semantic_similarity,gold_context_similarity,pred_context_similarity,semantic_grounding_index,semantic_metric_error,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,judge_raw_response,selected_session_ids,answer_session_ids
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,1,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,0.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.5,nan,nan,nan,nan,,2,53,1842,12024,True,6.379436898001586,,What degree did I graduate with?,Business Administration,I don't know,no,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,1,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,45,1951,12023,True,6.443528230000084,,How long is my daily commute to work?,45 minutes each way,I don't know. The context doesn't provide enough information about the specific question asked.,no,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,1,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,50,1992,12024,True,6.573473906002619,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,no,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,2,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,0.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.5,nan,nan,nan,nan,,2,53,1842,12024,True,5.399288610002259,,What degree did I graduate with?,Business Administration,I don't know,no,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,2,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,45,1951,12023,True,5.484298404000583,,How long is my daily commute to work?,45 minutes each way,I don't know. The context doesn't provide enough information about the specific question asked.,no,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,2,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,50,1992,12024,True,5.512114912999095,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,no,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,3,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,0.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.5,nan,nan,nan,nan,,2,53,1842,12024,True,5.4969941370000015,,What degree did I graduate with?,Business Administration,I don't know,no,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,3,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,45,1951,12023,True,5.579941828997107,,How long is my daily commute to work?,45 minutes each way,I don't know. The context doesn't provide enough information about the specific question asked.,no,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,3,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,50,1992,12024,True,5.597582719001366,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,no,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T170255Z,gpt54_judge_frozen_reader_s_first3_recent,ollama_chat/llama3:latest,recent,4,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,0.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.5,nan,nan,nan,nan,,2,53,1842,12024,True,5.4990775320002285,,What degree did I graduate with?,Business Administration,I don't know,no,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
