run_id,condition,model,reader,context_format,context_policy,repeat_index,question_id,question_type,judge_correct,judge_model,judge_provider,judge_error,heuristic_correct,token_f1,evidence_session_hit,recall_any@1,recall_any@3,recall_any@5,recall_all@3,recall_all@5,ndcg_any@3,ndcg_any@5,mrr,answer_semantic_similarity,gold_context_similarity,pred_context_similarity,semantic_grounding_index,semantic_metric_error,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,evidence_quote,judge_raw_response,selected_session_ids,answer_session_ids
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,1,e47becba,single-session-user,True,gpt-5.4,codex-bridge,,True,0.6666666666666666,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1939,12370,True,1.127134792997822,,What degree did I graduate with?,Business Administration,Degree in Business Administration,"I graduated with a degree in Business Administration, which has definitely helped me in my new role.",yes,['answer_280352e9'],['answer_280352e9']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,1,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,2006,12375,True,1.489268039000308,,How long is my daily commute to work?,45 minutes each way,I don't know.,"You've been using the Audible app to listen to your audiobooks, and it allows you to bookmark and add notes.",no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,1,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,2000,12111,False,1.5075898209979641,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer.,"I actually redeemed a $5 coupon on coffee creamer last Sunday, which was a nice surprise since I didn't know I had it in my email inbox.",no,['answer_d61669c7'],['answer_d61669c7']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,2,e47becba,single-session-user,True,gpt-5.4,codex-bridge,,True,0.6666666666666666,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1939,12370,True,1.1768314159999136,,What degree did I graduate with?,Business Administration,Degree in Business Administration,"I graduated with a degree in Business Administration, which has definitely helped me in my new role.",yes,['answer_280352e9'],['answer_280352e9']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,2,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,2006,12375,True,0.917027177001728,,How long is my daily commute to work?,45 minutes each way,I don't know.,"You are already reading Gone Girl on your Kindle, but The Nightingale sounds interesting. Can you tell me more about it?",no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,2,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,2000,12111,False,0.9193230809978559,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer.,"I actually redeemed a $5 coupon on coffee creamer last Sunday, which was a nice surprise since I didn't know I had it in my email inbox.",no,['answer_d61669c7'],['answer_d61669c7']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,3,e47becba,single-session-user,True,gpt-5.4,codex-bridge,,True,0.6666666666666666,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1939,12370,True,1.129944340998918,,What degree did I graduate with?,Business Administration,Degree in Business Administration,"I graduated with a degree in Business Administration, which has definitely helped me in my new role.",yes,['answer_280352e9'],['answer_280352e9']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,3,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,2006,12375,True,0.8952480960033427,,How long is my daily commute to work?,45 minutes each way,I don't know.,"You are already reading Gone Girl on your Kindle, but The Nightingale sounds interesting. Can you tell me more about it?",no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,3,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,2000,12111,False,0.942358719999902,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer.,"I actually redeemed a $5 coupon on coffee creamer last Sunday, which was a nice surprise since I didn't know I had it in my email inbox.",no,['answer_d61669c7'],['answer_d61669c7']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,4,e47becba,single-session-user,True,gpt-5.4,codex-bridge,,True,0.6666666666666666,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1939,12370,True,1.1055673750015558,,What degree did I graduate with?,Business Administration,Degree in Business Administration,"I graduated with a degree in Business Administration, which has definitely helped me in my new role.",yes,['answer_280352e9'],['answer_280352e9']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,4,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,2006,12375,True,0.8979348460015899,,How long is my daily commute to work?,45 minutes each way,I don't know.,"You are already reading Gone Girl on your Kindle, but The Nightingale sounds interesting. Can you tell me more about it?",no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,4,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,2000,12111,False,0.9457058070001949,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer.,"I actually redeemed a $5 coupon on coffee creamer last Sunday, which was a nice surprise since I didn't know I had it in my email inbox.",no,['answer_d61669c7'],['answer_d61669c7']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,5,e47becba,single-session-user,True,gpt-5.4,codex-bridge,,True,0.6666666666666666,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1939,12370,True,1.1172736549997353,,What degree did I graduate with?,Business Administration,Degree in Business Administration,"I graduated with a degree in Business Administration, which has definitely helped me in my new role.",yes,['answer_280352e9'],['answer_280352e9']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,5,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,2006,12375,True,0.9032572130017797,,How long is my daily commute to work?,45 minutes each way,I don't know.,"You are already reading Gone Girl on your Kindle, but The Nightingale sounds interesting. Can you tell me more about it?",no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T173145Z,structured_evidence_gpt54_s_first3_answer_sessions,ollama_chat/llama3:latest,evidence_answer,structured,answer_sessions,5,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,2000,12111,False,0.9576467289989523,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer.,"I actually redeemed a $5 coupon on coffee creamer last Sunday, which was a nice surprise since I didn't know I had it in my email inbox.",no,['answer_d61669c7'],['answer_d61669c7']
